"n","target_cv","actual_cv","maxmin_ratio","p","q","p_value","Lambda","loglik_F","loglik_R","aic_F","aic_R","bic_F","bic_R"
100,0,0,1,0.215,0.825,0.588657029676237,2.81842154013611,-598.17812691518,-599.587337685248,1216.35625383036,1211.1746753705,1242.40795569024,1226.80569648642
100,0,0,1,0.215,0.825,0.839904938167921,1.4246195119656,-637.504498986172,-638.216808742155,1295.00899797234,1288.43361748431,1321.06069983222,1304.06463860024
100,0,0,1,0.215,0.825,0.266744102584545,5.20664315619865,-610.096961702492,-612.700283280591,1240.19392340498,1237.40056656118,1266.24562526486,1253.03158767711
100,0,0,1,0.215,0.825,0.456788825566333,3.64083966965427,-632.758795337681,-634.579215172509,1285.51759067536,1281.15843034502,1311.56929253524,1296.78945146095
100,0,0,1,0.215,0.825,0.128363235888867,7.14615537221152,-639.853535104297,-643.426612790403,1299.70707020859,1298.85322558081,1325.75877206847,1314.48424669673
100,0,0,1,0.215,0.825,0.414614811389248,3.93688578289994,-631.372958160664,-633.341401052113,1282.74591632133,1278.68280210423,1308.79761818121,1294.31382322016
100,0,0,1,0.215,0.825,0.664470088111548,2.38980699257081,-629.153451447796,-630.348354944082,1278.30690289559,1272.69670988816,1304.35860475547,1288.32773100409
100,0,0,1,0.215,0.825,0.830856220165735,1.47615799863365,-631.516218504396,-632.254297503713,1283.03243700879,1276.50859500743,1309.08413886867,1292.13961612335
100,0,0,1,0.215,0.825,0.408817671866277,3.97927696836859,-609.082370556314,-611.072009040498,1238.16474111263,1234.144018081,1264.21644297251,1249.77503919693
100,0,0,1,0.215,0.825,0.336667710072737,4.54993299602984,-610.909385752287,-613.184352250302,1241.81877150457,1238.3687045006,1267.87047336445,1253.99972561653
100,0,0,1,0.215,0.825,0.0930117886390587,7.96114844979138,-628.962421481716,-632.942995706612,1277.92484296343,1277.88599141322,1303.97654482331,1293.51701252915
100,0,0,1,0.215,0.825,0.862658829109038,1.2924285262734,-612.37601560102,-613.022229864156,1244.75203120204,1238.04445972831,1270.80373306192,1253.67548084424
100,0,0,1,0.215,0.825,0.601104447226077,2.74648926533018,-615.805059724284,-617.17830435695,1251.61011944857,1246.3566087139,1277.66182130845,1261.98762982983
100,0,0,1,0.215,0.825,0.279735346504783,5.07453040013979,-610.484449586631,-613.021714786701,1240.96889917326,1238.0434295734,1267.02060103314,1253.67445068933
100,0,0,1,0.215,0.825,0.369884830243466,4.27643809675283,-617.098591747771,-619.236810796147,1254.19718349554,1250.47362159229,1280.24888535542,1266.10464270822
100,0,0,1,0.215,0.825,0.411890206856752,3.95675392363751,-606.249362554061,-608.22773951588,1232.49872510812,1228.45547903176,1258.550426968,1244.08650014769
100,0,0,1,0.215,0.825,0.0355539365657491,10.3075383230655,-619.33584926274,-624.489618424273,1258.67169852548,1260.97923684855,1284.72340038536,1276.61025796447
100,0,0,1,0.215,0.825,0.137867416209315,6.96279563717621,-613.330631419689,-616.812029238277,1246.66126283938,1245.62405847655,1272.71296469926,1261.25507959248
100,0,0,1,0.215,0.825,0.494664176320693,3.39087247910652,-633.03062900831,-634.726065247864,1286.06125801662,1281.45213049573,1312.1129598765,1297.08315161166
100,0,0,1,0.215,0.825,0.902849430215763,1.04531002957197,-638.243297226171,-638.765952240957,1296.48659445234,1289.53190448191,1322.53829631222,1305.16292559784
100,0,0,1,0.215,0.825,0.0876758895808298,8.10871893735612,-621.504097522734,-625.558456991412,1263.00819504547,1263.11691398282,1289.05989690535,1278.74793509875
100,0,0,1,0.215,0.825,0.856516779118529,1.3285297775476,-610.930735399507,-611.595000288281,1241.86147079901,1235.19000057656,1267.9131726589,1250.82102169249
100,0,0,1,0.215,0.825,0.256653591316411,5.31309470608426,-658.558848526367,-661.21539587941,1337.11769705273,1334.43079175882,1363.16939891262,1350.06181287475
