"n","target_cv","actual_cv","mttf_true","mttf_full","mttf_reduced","mttf_adaptive_lrt","selected_model_lrt","cv_hat","mttf_adaptive_cv","selected_model_cv","Lambda","p_value","loglik_F","loglik_R","conv_F"
100,0,0,221.829531491824,239.479476243245,242.630067889516,242.630067889516,"reduced",0.206854640410053,239.479476243245,"full",1.97082483383792,0.74112516253176,-590.389942095727,-591.375354512646,0
100,0,0,221.829531491824,218.174799668992,221.041482698407,221.041482698407,"reduced",0.225742429942133,218.174799668992,"full",2.5133723624715,0.642242875877927,-616.087322540697,-617.344008721932,0
100,0,0,221.829531491824,187.754275144215,188.593380630957,188.593380630957,"reduced",0.212192255566882,187.754275144215,"full",2.98578609428137,0.560206874463265,-638.927516109864,-640.420409157005,0
100,0,0,221.829531491824,240.240159044541,243.052972959443,243.052972959443,"reduced",0.285655460196876,240.240159044541,"full",4.3671128614285,0.358596497718852,-601.86439738852,-604.047953819234,0
100,0,0,221.829531491824,200.512092333595,200.703520426148,200.703520426148,"reduced",0.0983791527310213,200.703520426148,"reduced",0.496498352220442,0.973840968127026,-632.985758383823,-633.234007559933,0
100,0,0,221.829531491824,194.421233837595,196.21328483381,196.21328483381,"reduced",0.250259042299716,194.421233837595,"full",2.52589906347453,0.640004246931154,-646.130658465136,-647.393607996873,0
100,0,0,221.829531491824,240.590670219959,246.830891845836,246.830891845836,"reduced",0.191207796728484,240.590670219959,"full",3.61322361361954,0.460872515312442,-597.084825902233,-598.891437709043,0
100,0,0,221.829531491824,235.085716196961,251.520940329507,235.085716196961,"full",0.592856894307148,235.085716196961,"full",9.72539906398856,0.0453162603175135,-597.713130504303,-602.575830036297,0
100,0,0,221.829531491824,239.390204538217,256.646531449696,256.646531449696,"reduced",0.269529942755767,239.390204538217,"full",5.14038450730982,0.273194083791443,-592.443312707711,-595.013504961366,0
100,0,0,221.829531491824,220.881978287461,255.471310697862,220.881978287461,"full",1.53270511391371,220.881978287461,"full",11.143302780614,0.0249998304477375,-582.387490568701,-587.959141959008,0
100,0,0,221.829531491824,235.876487882707,244.680416329219,244.680416329219,"reduced",0.322396354483759,235.876487882707,"full",4.40086007153832,0.354465290546573,-600.499224614373,-602.699654650142,0
100,0,0,221.829531491824,221.256395003315,231.49949456217,221.256395003315,"full",0.521642186515464,221.256395003315,"full",12.4238909753774,0.0144623473567745,-619.160233375025,-625.372178862714,0
100,0,0,221.829531491824,188.704653197295,189.70278525221,189.70278525221,"reduced",0.262078883496626,188.704653197295,"full",3.19185794934424,0.526247031040392,-644.694789752788,-646.29071872746,0
100,0,0,221.829531491824,191.970819451419,194.782517723951,194.782517723951,"reduced",0.281087718947199,191.970819451419,"full",5.21311098364436,0.266121493401278,-639.245857040327,-641.852412532149,0
100,0,0,221.829531491824,203.733881326481,206.011734076523,206.011734076523,"reduced",0.242616632230585,203.733881326481,"full",4.58458912771334,0.332634893523022,-645.722806638342,-648.015101202199,0
100,0,0,221.829531491824,225.994874202285,233.201113636947,233.201113636947,"reduced",0.467470156628394,225.994874202285,"full",3.34026356945878,0.502578236842733,-594.406551432807,-596.076683217536,0
100,0,0,221.829531491824,220.249350353355,223.140087197719,223.140087197719,"reduced",0.259785304323988,220.249350353355,"full",2.43526452722904,0.656263965317655,-613.780186320565,-614.99781858418,0
100,0,0,221.829531491824,274.186037778277,288.022531242507,288.022531242507,"reduced",0.262408722344014,274.186037778277,"full",2.76965591549242,0.597081910714249,-579.60395679604,-580.988784753786,0
100,0,0,221.829531491824,239.539049764905,245.280212530854,245.280212530854,"reduced",0.409161062007975,239.539049764905,"full",3.39107305923449,0.494632972208267,-603.565849645124,-605.261386174742,0
100,0,0,221.829531491824,219.716314911719,223.760523686658,223.760523686658,"reduced",0.309641573994214,219.716314911719,"full",4.35028395657787,0.36067080673659,-623.698892421691,-625.87403439998,0
100,0,0,221.829531491824,204.239909712765,212.45319235048,204.239909712765,"full",0.400597128183724,204.239909712765,"full",13.8377551528085,0.00783128945822635,-622.412834531632,-629.331712108036,0
100,0,0,221.829531491824,209.629236043995,212.044850998932,212.044850998932,"reduced",0.340800867494292,209.629236043995,"full",6.97330199079215,0.137305837227731,-627.506551812095,-630.993202807491,0
100,0,0,221.829531491824,220.001249074635,221.220037378453,221.220037378453,"reduced",0.155126368979607,220.001249074635,"full",1.07651531190459,0.89798018890807,-618.588190664408,-619.126448320361,0
100,0,0,221.829531491824,227.56302839814,231.251471915074,231.251471915074,"reduced",0.378836633145104,227.56302839814,"full",6.98686775558667,0.136583833934318,-611.143251368178,-614.636685245971,0
100,0,0,221.829531491824,230.171262815997,235.457145680125,235.457145680125,"reduced",0.271233418689454,230.171262815997,"full",4.10948551752358,0.391391330971665,-606.00825178311,-608.062994541871,0
100,0,0,221.829531491824,206.893297085483,207.984994755899,207.984994755899,"reduced",0.19721250536666,206.893297085483,"full",1.47568096069017,0.830940372032184,-615.974920483846,-616.712760964191,0
100,0,0,221.829531491824,241.462823331335,243.659268090478,243.659268090478,"reduced",0.213707311504154,241.462823331335,"full",1.00180618352829,0.909521989591078,-601.29070015695,-601.791603248714,0
100,0,0,221.829531491824,220.713834764901,223.095224828924,223.095224828924,"reduced",0.177088243967016,220.713834764901,"full",0.999045124682425,0.909940745277354,-614.582464938754,-615.081987501096,0
100,0,0,221.829531491824,233.708084138246,235.920275614681,235.920275614681,"reduced",0.23459062205749,233.708084138246,"full",2.9728314673157,0.562382236249945,-599.826928768797,-601.313344502454,0
100,0,0,221.829531491824,219.14979284287,238.382986010823,238.382986010823,"reduced",1.48948271789742,219.14979284287,"full",4.7535029562373,0.313537179223695,-613.021577609446,-615.398329087565,0
100,0,0,221.829531491824,234.323578901132,236.396799018799,236.396799018799,"reduced",0.145749251881121,234.323578901132,"full",2.11421954899879,0.71476047033299,-608.25929470391,-609.31640447841,0
100,0,0,221.829531491824,197.605006424324,205.250080530164,197.605006424324,"full",0.656147650764674,197.605006424324,"full",14.4732395076524,0.00592822925719704,-633.408406905221,-640.645026659048,0
