target_cv,actual_cv,n,model,mttf_true,mean_est,bias,bias_sq,variance,mse,mse_check,bias_frac,var_frac,n_reps
0.08,0.109544511501033,5000,reduced,219.784626615894,220.27447022702702,0.48984361113301134,0.23994676336782883,8.913858359950318,9.153805123318147,9.153805123318147,0.02621278912269993,0.9737872108773,500
0.1,0.136930639376291,100,full,218.590403996944,214.70157490759485,-3.8888290893491444,15.122991686168096,366.69173020400615,381.81472189017404,381.81472189017427,0.03960819428675174,0.9603918057132488,497
0.1,0.136930639376291,100,reduced,218.590403996944,220.43962039239395,1.8492163954499574,3.4196012772009334,473.00088215937905,476.42048343657996,476.42048343657996,0.007177695745855023,0.992822304254145,497
0.1,0.136930639376291,500,full,218.590403996944,218.51928954019036,-0.0711144567536337,0.005057265959364439,92.36119369344412,92.36625095940349,92.36625095940349,5.47523138249618e-05,0.999945247686175,500
0.1,0.136930639376291,500,reduced,218.590403996944,220.53724397717923,1.9468399802352394,3.7901859086423473,98.14643350898407,101.93661941762623,101.93661941762642,0.0371817893343535,0.9628182106656483,500
0.1,0.136930639376291,1000,full,218.590403996944,218.10805412325925,-0.4823498736847398,0.23266140064368446,46.066472206361766,46.29913360700545,46.29913360700545,0.005025178281273082,0.9949748217187269,500
0.1,0.136930639376291,1000,reduced,218.590403996944,219.68363743495155,1.0932334380075588,1.1951593499778268,48.102035241519026,49.297194591496876,49.297194591496854,0.024243962762618875,0.9757560372373807,500
0.1,0.136930639376291,5000,full,218.590403996944,218.59599497287888,0.0055909759348935495,3.12590119045588e-05,8.811379275161224,8.811410534173131,8.81141053417313,3.5475604936721027e-06,0.9999964524395061,500
0.1,0.136930639376291,5000,reduced,218.590403996944,219.7981561622821,1.2077521653381211,1.4586652928789203,9.191916233566651,10.650581526445581,10.650581526445572,0.13695639897756087,0.8630436010224383,500
0.15,0.205395959064437,100,full,214.377405441242,210.05737655131225,-4.320028889929745,18.66264960982762,425.210172367328,443.8728219771557,443.87282197715564,0.04204503787075324,0.9579549621292467,494
0.15,0.205395959064437,100,reduced,214.377405441242,217.9215987085459,3.5441932673039105,12.561305916002368,558.0767094815925,570.6380153975948,570.6380153975949,0.02201273938479233,0.9779872606152078,494
