"n","pmask","q","shape3","p.value","Lambda","loglik.F","loglik.R"
1000,0.215,0.825,0.5,1.33820070047804e-39,188.128086964683,-5859.91024642105,-5953.9742899034
1000,0.215,0.825,0.75,1.57480797296894e-09,46.9328693166062,-6242.41517116243,-6265.88160582074
1000,0.215,0.825,1,0.180765774425452,6.25691368091975,-6258.38418675924,-6261.5126435997
1000,0.215,0.825,1.1308,0.330263937501743,4.60512303753603,-6252.62323703862,-6254.92579855739
1000,0.215,0.825,1.25,0.220335270788729,5.72883066587929,-6242.42322511462,-6245.28764044756
1000,0.215,0.825,1.5,0.2302759805711,5.6094377619138,-6123.55647098654,-6126.36118986749
1000,0.215,0.825,1.75,0.180120303347988,6.26635310310849,-6135.71252193571,-6138.84569848726
1000,0.215,0.825,2,0.00771265816900489,13.8726905117728,-6303.31555693998,-6310.25190219586
1000,0.215,0.825,2.25,4.43638754646661e-05,25.2715648685062,-6354.61047125649,-6367.24625369074
1000,0.215,0.825,2.5,0.000102357197532164,23.4621777405337,-6221.107773939,-6232.83886280927
1000,0.215,0.825,2.75,4.15257935396667e-05,25.4142210118935,-6326.40379326151,-6339.11090376746
1000,0.215,0.825,3,0.000565204090854587,19.7275115161774,-6140.56358607532,-6150.42734183341
1000,0.215,0.825,0.25,8.01042716224526e-98,458.021441891566,-4746.99417376062,-4976.0048947064
1000,0.215,0.825,0.5,3.54376572125337e-37,176.847691790368,-5720.40291956009,-5808.82676545527
1000,0.215,0.825,0.75,2.19665115234708e-07,36.5815788055679,-6077.54692951383,-6095.83771891662
1000,0.215,0.825,1,0.0793816151946225,8.35577038653719,-6160.80880258002,-6164.98668777329
1000,0.215,0.825,1.1308,0.992856216996492,0.249142931597817,-6157.46640887838,-6157.59098034418
1000,0.215,0.825,1.25,0.130855035038393,7.09690432448588,-6193.38726120675,-6196.93571336899
1000,0.215,0.825,1.5,0.0111433630592244,13.0272597788717,-6314.50966744752,-6321.02329733695
1000,0.215,0.825,1.75,0.152442727974342,6.70296603708266,-6336.83663006589,-6340.18811308443
1000,0.215,0.825,2,0.0492845217764664,9.52262020943999,-6291.38800365488,-6296.1493137596
1000,0.215,0.825,2.25,0.000122043559365037,23.0801218535344,-6240.99752119625,-6252.53758212302
1000,0.215,0.825,2.5,0.0617497113472664,8.9741165050018,-6289.55811988833,-6294.04517814083
1000,0.215,0.825,2.75,9.3284266947723e-06,28.6220336161314,-6290.56546359439,-6304.87648040246
1000,0.215,0.825,3,1.41329847338233e-06,32.6430695072013,-6356.28518335488,-6372.60671810848
1000,0.215,0.825,0.25,6.81418402314271e-166,772.538478542721,-4809.58577937664,-5195.85501864801
1000,0.215,0.825,0.5,9.06513489283611e-33,156.304491000392,-5915.97136613052,-5994.12361163071
1000,0.215,0.825,0.75,3.37175637081463e-06,30.7943730773532,-5952.46506958894,-5967.86225612762
1000,0.215,0.825,1,0.0669285757993437,8.77674537407802,-6282.61763293495,-6287.00600562199
1000,0.215,0.825,1.1308,0.704410359245499,2.17062661436466,-6257.90784738271,-6258.99316068989
1000,0.215,0.825,1.25,0.86574919390893,1.27413016020182,-6209.51060195739,-6210.14766703749
1000,0.215,0.825,1.5,0.000255522703799523,21.4695083457609,-6186.093411446,-6196.82816561888
1000,0.215,0.825,1.75,0.143278166729507,6.86353062220769,-6330.73206738977,-6334.16383270088
1000,0.215,0.825,2,0.000967206793015949,18.5407206917225,-6301.64697730259,-6310.91733764846
1000,0.215,0.825,2.25,0.000194489675607261,22.0655296153618,-6265.09092190481,-6276.12368671249
1000,0.215,0.825,2.5,6.42444766884172e-09,43.9971759969467,-6338.1572035809,-6360.15579157938
1000,0.215,0.825,2.75,0.00236505177915488,16.5483814268227,-6178.00242550729,-6186.2766162207
1000,0.215,0.825,3,0.000192598533558047,22.0868424542987,-6439.7023741814,-6450.74579540855
1000,0.215,0.825,0.25,6.15038207415435e-114,532.532864861361,-4789.93637807115,-5056.20281050183
1000,0.215,0.825,0.5,2.99149483541041e-35,167.873220528078,-5770.1400603496,-5854.07667061364
1000,0.215,0.825,0.75,2.82426544229037e-06,31.1716194852106,-6191.34369044243,-6206.92950018503
1000,0.215,0.825,1,0.0110656172378443,13.0434108422014,-6183.29453660355,-6189.81624202466
1000,0.215,0.825,1.1308,0.826104182082156,1.50303238980814,-6200.76816489374,-6201.51968108864
1000,0.215,0.825,1.25,0.300215955451697,4.87640363932587,-6165.13548232033,-6167.57368413999
1000,0.215,0.825,1.5,0.411258371319688,3.96137530074702,-6322.4839279681,-6324.46461561847
1000,0.215,0.825,1.75,0.211570991815967,5.83808376986053,-6214.52191238225,-6217.44095426718
1000,0.215,0.825,2,0.0420597565332776,9.90494037679855,-6199.87071722581,-6204.82318741421
1000,0.215,0.825,2.25,1.61862806109679e-07,37.2253874647977,-6266.93544739512,-6285.54814112752
1000,0.215,0.825,2.5,5.17284369725872e-07,34.772555367661,-6379.90354914014,-6397.28982682397
1000,0.215,0.825,2.75,0.000184457329282984,22.1810270777823,-6389.55202622749,-6400.64253976638
1000,0.215,0.825,3,0.00179940643395443,17.1599464488172,-6281.83829774761,-6290.41827097202
1000,0.215,0.825,0.25,2.72390233702433e-84,395.413826435655,-4567.33338839165,-4765.04030160948
1000,0.215,0.825,0.5,5.61540306618706e-32,152.609935653474,-5788.1493254391,-5864.45429326584
1000,0.215,0.825,0.75,2.53433931403506e-10,50.7361436607316,-6065.49644192447,-6090.86451375484
1000,0.215,0.825,1,0.00900046117282621,13.5187643521476,-6180.90980900967,-6187.66919118575
1000,0.215,0.825,1.1308,0.309757657369179,4.78792685860572,-6281.16162264816,-6283.55558607746
1000,0.215,0.825,1.25,0.454852584100384,3.65399375561537,-6083.30392583598,-6085.13092271378
1000,0.215,0.825,1.5,0.0270331514792014,10.9586090187822,-6194.55297669057,-6200.03228119996
1000,0.215,0.825,1.75,0.00425344775370863,15.2266744631652,-6277.12242270464,-6284.73575993622
1000,0.215,0.825,2,0.0241720681209531,11.2226891400278,-6239.10290058281,-6244.71424515282
1000,0.215,0.825,2.25,4.9601978367195e-05,25.0306047853355,-6185.93914408106,-6198.45444647372
1000,0.215,0.825,2.5,1.42762207828778e-09,47.1374603236945,-6297.36608611668,-6320.93481627853
