"n","p","q","p_value","Lambda","loglik_F","loglik_R","cv_shapes","maxmin_ratio","pct_censored","aic_F","aic_R","bic_F","bic_R"
100,0.215,0.5,0.311391253608625,4.7730058093947,-396.647679318318,-399.034182223016,0.0399806559271595,1.11213300318359,0.48,813.295358636636,810.068364446031,839.347060496517,825.69938556196
100,0.215,0.5,0.662647317533438,2.39988904593167,-380.098056995026,-381.298001517991,0.0399806559271595,1.11213300318359,0.49,780.196113990051,774.596003035983,806.247815849932,790.227024151911
100,0.215,0.5,0.191896095360767,6.09872017894111,-347.559967856665,-350.609327946136,0.0399806559271595,1.11213300318359,0.55,715.119935713331,713.218655892272,741.171637573212,728.849677008201
100,0.215,0.5,0.384789575876927,4.15996519376097,-419.299685452919,-421.379668049799,0.0399806559271595,1.11213300318359,0.42,858.599370905838,854.759336099598,884.651072765718,870.390357215527
100,0.215,0.5,0.694159921331592,2.22661373410199,-411.550598618184,-412.663905485235,0.0399806559271595,1.11213300318359,0.45,843.101197236369,837.327810970471,869.152899096249,852.958832086399
100,0.215,0.5,0.0351679799570785,10.3335984137436,-347.151575912561,-352.318375119433,0.0399806559271595,1.11213300318359,0.54,714.303151825122,716.636750238866,740.354853685003,732.267771354794
100,0.215,0.5,0.657279839964361,2.42962742469069,-385.394757105826,-386.609570818171,0.0399806559271595,1.11213300318359,0.48,790.789514211651,785.219141636342,816.841216071532,800.85016275227
100,0.215,0.5,0.740977146062782,1.97162961888489,-360.148728673289,-361.134543482731,0.0399806559271595,1.11213300318359,0.52,740.297457346577,734.269086965462,766.349159206458,749.900108081391
100,0.215,0.5,0.512885911929384,3.27510743617199,-385.616258694034,-387.25381241212,0.0399806559271595,1.11213300318359,0.49,791.232517388069,786.507624824241,817.28421924795,802.138645940169
100,0.215,0.5,0.872075645234884,1.23636612852397,-391.170695412768,-391.78887847703,0.0399806559271595,1.11213300318359,0.48,802.341390825535,795.577756954059,828.393092685416,811.208778069988
100,0.215,0.5,0.464200556573065,3.59084295763319,-379.30790201853,-381.103323497346,0.0399806559271595,1.11213300318359,0.5,778.61580403706,774.206646994693,804.66750589694,789.837668110621
100,0.215,0.5,0.821832509460849,1.52708839372349,-360.82349537658,-361.587039573442,0.0399806559271595,1.11213300318359,0.53,741.646990753161,735.174079146884,767.698692613042,750.805100262813
100,0.215,0.5,0.943495295713797,0.761795364531054,-383.426212176101,-383.807109858366,0.0399806559271595,1.11213300318359,0.49,786.852424352201,779.614219716732,812.904126212082,795.245240832661
100,0.215,0.5,0.504817407712776,3.32603776169492,-402.656255415956,-404.319274296804,0.0399806559271595,1.11213300318359,0.46,825.312510831912,820.638548593607,851.364212691793,836.269569709536
100,0.215,0.5,0.184509559882511,6.20275339893931,-332.20589631139,-335.30727301086,0.0399806559271595,1.11213300318359,0.57,684.41179262278,682.61454602172,710.463494482661,698.245567137648
100,0.215,0.5,0.835238635491455,1.45126002450888,-333.265759369303,-333.991389381558,0.0399806559271595,1.11213300318359,0.57,686.531518738607,679.982778763115,712.583220598488,695.613799879044
100,0.215,0.5,0.693912775414984,2.22796545347865,-361.249934707698,-362.363917434437,0.0399806559271595,1.11213300318359,0.52,742.499869415396,736.727834868874,768.551571275277,752.358855984803
100,0.215,0.5,0.562619939548798,2.97141757334657,-379.782270848281,-381.267979634955,0.0399806559271595,1.11213300318359,0.5,779.564541696563,774.535959269909,805.616243556444,790.166980385838
100,0.215,0.5,0.426519601185819,3.85118949459877,-393.953671936966,-395.879266684265,0.0399806559271595,1.11213300318359,0.48,807.907343873931,803.75853336853,833.959045733812,819.389554484458
100,0.215,0.5,0.153677791768193,6.6820048489468,-328.582147288517,-331.92314971299,0.0399806559271595,1.11213300318359,0.57,677.164294577034,675.846299425981,703.215996436915,691.477320541909
100,0.215,0.5,0.892740636421126,1.10963419531504,-360.014982930505,-360.569800028163,0.0399806559271595,1.11213300318359,0.53,740.029965861011,733.139600056326,766.081667720892,748.770621172255
100,0.215,0.5,0.132098117079403,7.0726565016281,-333.765276329806,-337.30160458062,0.0399806559271595,1.11213300318359,0.56,687.530552659612,686.60320916124,713.582254519493,702.234230277169
100,0.215,0.5,0.582645336661909,2.85343037620419,-418.750086043537,-420.17680123164,0.0399806559271595,1.11213300318359,0.43,857.500172087075,852.353602463279,883.551873946956,867.984623579208
100,0.215,0.5,0.205916974544242,5.91070353464886,-399.654323408478,-402.609675175803,0.0399806559271595,1.11213300318359,0.46,819.308646816956,817.219350351605,845.360348676837,832.850371467534
100,0.215,0.5,0.762819655906229,1.85274432702511,-372.402903987929,-373.329276151441,0.0399806559271595,1.11213300318359,0.5,764.805807975858,758.658552302883,790.857509835739,774.289573418812
100,0.215,0.5,0.218718844336372,5.7486894771165,-384.413024350578,-387.287369089136,0.0399806559271595,1.11213300318359,0.48,788.826048701155,786.574738178272,814.877750561036,802.2057592942
100,0.215,0.5,0.805277692819359,1.61953046316137,-328.888500907987,-329.698266139568,0.0399806559271595,1.11213300318359,0.58,677.777001815974,671.396532279135,703.828703675855,687.027553395064
100,0.215,0.5,0.0344660016441262,10.3817102470867,-354.451005261034,-359.641860384577,0.0399806559271595,1.11213300318359,0.54,728.902010522067,731.283720769154,754.953712381948,746.914741885082
100,0.215,0.5,0.491030621216362,3.4142848055094,-378.645110908812,-380.352253311566,0.0399806559271595,1.11213300318359,0.49,777.290221817623,772.704506623132,803.341923677504,788.335527739061
100,0.215,0.5,0.127523842055415,7.16294471436777,-378.933746284388,-382.515218641572,0.0399806559271595,1.11213300318359,0.5,777.867492568776,777.030437283144,803.919194428657,792.661458399073
100,0.215,0.5,0.273220360404655,5.14011730736536,-380.975797419441,-383.545856073124,0.0399806559271595,1.11213300318359,0.49,781.951594838882,779.091712146247,808.003296698763,794.722733262176
